기간	자치구	성별	합계	한국계 중국인	중국(한국계 중국인 제외)	미국	타이완	일본	베트남	몽골	필리핀	캐나다	인도	우즈베키스탄	영국	프랑스	타이	러시아	독일	오스트레일리아	네팔	파키스탄	인도네시아	나이지리아	말레이시아	방글라데시	캄 보 디 아	사우디아라비아	홍       콩	뉴질랜드	카자흐스탄	스 리 랑 카	남아프리카 공화국	미  얀  마	싱 가 포 르	이       란	브  라  질	아 일 랜 드	스  웨  덴	이 탈 리 아	터       키	네 덜 란 드	키르기스스탄	멕  시  코	스  페  인	우크라이나	스  위  스	핀  란  드	가       나	벨  기  에	폴  란  드	이  집  트	오스트리아	수       단	아르헨티나	오       만	이 스 라 엘	페       루	덴  마  크	모  로  코	이  라  크	기       타
2018.1/4	강북구	여자	2,236	644	555	31	67	98	319	222	78	7	4	23	-	7	29	17	1	1	14	5	6	-	2	1	17	2	9	-	15	-	4	2	1	1	1	-	-	2	1	2	9	2	1	5	-	1	1	1	1	-	-	1	1	-	-	-	-	1	-	24
2018.1/4	도봉구	계	2,180	471	433	75	43	99	423	155	161	23	1	39	12	6	26	8	4	3	31	22	10	1	2	5	42	-	9	2	6	-	4	19	2	1	2	2	1	2	1	1	4	2	3	1	-	-	-	-	-	-	1	-	2	-	1	2	-	-	-	17
2018.1/4	도봉구	남자	824	219	120	41	24	19	105	60	54	17	1	11	9	5	6	3	2	3	26	19	6	1	1	4	26	-	3	-	-	-	2	18	1	1	-	2	-	2	-	-	-	-	1	-	-	-	-	-	-	-	-	-	2	-	-	1	-	-	-	9
2018.1/4	도봉구	여자	1,356	252	313	34	19	80	318	95	107	6	-	28	3	1	20	5	2	-	5	3	4	-	1	1	16	-	6	2	6	-	2	1	1	-	2	-	1	-	1	1	4	2	2	1	-	-	-	-	-	-	1	-	-	-	1	1	-	-	-	8
2018.1/4	노원구	계	3,901	618	1,109	177	126	221	545	333	92	49	52	92	22	27	23	44	20	6	10	15	24	5	4	12	22	20	13	7	17	1	7	28	1	15	20	7	-	2	10	6	2	3	4	6	2	9	2	2	-	7	-	-	-	-	-	2	-	2	-	58
2018.1/4	노원구	남자	1,618	297	431	100	37	24	192	134	22	37	34	61	18	18	8	6	14	5	6	6	12	5	3	11	8	15	2	4	6	-	4	4	-	3	10	7	-	2	4	6	-	3	4	4	2	7	2	1	-	4	-	-	-	-	-	1	-	1	-	33
2018.1/4	노원구	여자	2,283	321	678	77	89	197	353	199	70	12	18	31	4	9	15	38	6	1	4	9	12	-	1	1	14	5	11	3	11	1	3	24	1	12	10	-	-	-	6	-	2	-	-	2	-	2	-	1	-	3	-	-	-	-	-	1	-	1	-	25
2018.1/4	은평구	계	4,351	1,256	833	126	529	384	442	66	112	33	20	59	27	25	50	28	11	9	13	11	26	7	16	9	74	2	34	3	7	7	7	30	3	4	-	3	2	4	-	5	8	5	4	3	1	1	2	-	3	7	-	-	1	-	-	1	1	4	-	33
2018.1/4	은평구	남자	1,868	618	302	84	276	118	92	27	23	23	11	25	24	12	5	6	8	7	10	11	11	7	4	8	46	1	15	3	2	6	3	28	3	3	-	2	-	2	-	3	1	4	3	1	1	-	1	-	-	5	-	-	1	-	-	-	1	2	-	19
2018.1/4	은평구	여자	2,483	638	531	42	253	266	350	39	89	10	9	34	3	13	45	22	3	2	3	-	15	-	12	1	28	1	19	-	5	1	4	2	-	1	-	1	2	2	-	2	7	1	1	2	-	1	1	-	3	2	-	-	-	-	-	1	-	2	-	14
